,release_date,tmdb_id,name,countries,box_office_revenue,genres,composers
10,2010,10193.0,Toy Story 3,['United States of America'],1063171911.0,"['Adventure', ""Children's/Family"", 'Computer Animation', 'Animation', 'Fantasy', 'Comedy', 'Adventure Comedy', 'Family Film', 'Family-Oriented Adventure', ""Children's Fantasy""]",
11,2011,1865.0,Pirates of the Caribbean: On Stranger Tides,['United States of America'],1043871802.0,"['Swashbuckler films', 'Adventure', 'Costume Adventure', 'Fantasy', 'Adventure Comedy', 'Action']","[Composer(id=947, name='Hans Zimmer', birthday='1957-09-12', gender=2, homepage='https://hans-zimmer.com', place_of_birth='Frankfurt am Main, Germany', date_first_appearance='1982-01-01')]"
12,1999,1893.0,Star Wars Episode I: The Phantom Menace,['United States of America'],1027044677.0,"['Science Fiction', 'Action', 'Fantasy', 'Adventure', 'Family Film']","[Composer(id=491, name='John Williams', birthday='1932-02-08', gender=2, homepage='http://www.johnwilliams.org', place_of_birth='Queens, New York, USA', date_first_appearance='1958-03-01')]"
13,2010,12155.0,Alice in Wonderland,"['United States of America', 'United Kingdom']",1024299904.0,"['Computer Animation', 'Family Film', 'Fantasy', 'Adventure']","[Composer(id=531, name='Danny Elfman', birthday='1953-05-29', gender=2, homepage='https://www.dannyelfman.com/', place_of_birth='Los Angeles, California, USA', date_first_appearance='1980-03-15')]"
14,2012,49051.0,The Hobbit: An Unexpected Journey,"['United States of America', 'New Zealand']",1021103568.0,"['Fantasy', 'Adventure']","[Composer(id=117, name='Howard Shore', birthday='1946-10-18', gender=2, homepage='http://www.howardshore.com/', place_of_birth='Toronto, Ontario, Canada', date_first_appearance='1978-09-08')]"
15,2008,155.0,The Dark Knight,"['United States of America', 'United Kingdom']",1004558444.0,"['Crime Fiction', 'Thriller', 'Superhero movie', 'Crime Drama', 'Superhero', 'Action/Adventure', 'Drama', 'Action']","[Composer(id=947, name='Hans Zimmer', birthday='1957-09-12', gender=2, homepage='https://hans-zimmer.com', place_of_birth='Frankfurt am Main, Germany', date_first_appearance='1982-01-01'), Composer(id=1213, name='James Newton Howard', birthday='1951-06-09', gender=2, homepage=None, place_of_birth='Los Angeles, California, USA', date_first_appearance='1985-06-06')]"
16,2001,671.0,Harry Potter and the Philosopher's Stone,"['United States of America', 'United Kingdom']",974755371.0,"['Fantasy Adventure', 'Adventure', ""Children's/Family"", 'School story', 'Fantasy', ""Children's Fantasy"", 'Family Film']","[Composer(id=491, name='John Williams', birthday='1932-02-08', gender=2, homepage='http://www.johnwilliams.org', place_of_birth='Queens, New York, USA', date_first_appearance='1958-03-01')]"
17,2013,93456.0,Despicable Me 2,['United States of America'],970800000.0,"['Comedy film', 'Family Film', 'Animation']","[Composer(id=59706, name='Heitor Pereira', birthday='1960-11-29', gender=2, homepage='https://www.heitorpereira.com/', place_of_birth='Rio Grande, Rio Grande do Sul, Brazil', date_first_appearance='2001-03-18')]"
18,2007,285.0,Pirates of the Caribbean: At World's End,['United States of America'],963420425.0,"['Swashbuckler films', 'Fantasy Adventure', 'Adventure', 'Action/Adventure', 'Fantasy', 'Comedy', 'Adventure Comedy', 'Action']","[Composer(id=947, name='Hans Zimmer', birthday='1957-09-12', gender=2, homepage='https://hans-zimmer.com', place_of_birth='Frankfurt am Main, Germany', date_first_appearance='1982-01-01')]"
19,2010,12444.0,Harry Potter and the Deathly Hallows: Part I,"['United States of America', 'United Kingdom']",956399711.0,"['Adventure', 'Mystery', 'Drama', 'Fantasy', 'Family Film', 'Action']","[Composer(id=2949, name='Alexandre Desplat', birthday='1961-08-23', gender=2, homepage='http://www.alexandredesplat.net', place_of_birth='Paris, France', date_first_appearance='1991-08-16')]"
20,1994,8587.0,The Lion King,['United States of America'],951583777.0,"['Music', 'Adventure', ""Children's/Family"", 'Animation', 'Musical', ""Children's"", 'Coming of age', ""Children's Fantasy"", 'Animated Musical', 'Drama', 'Fantasy', 'Family Film', 'Comedy']","[Composer(id=947, name='Hans Zimmer', birthday='1957-09-12', gender=2, homepage='https://hans-zimmer.com', place_of_birth='Frankfurt am Main, Germany', date_first_appearance='1982-01-01')]"
21,2007,675.0,Harry Potter and the Order of the Phoenix,"['United States of America', 'United Kingdom']",939885929.0,"['Mystery', 'Family Film', 'Fantasy Adventure', 'Fantasy', 'Adventure']","[Composer(id=11344, name='Nicholas Hooper', birthday=None, gender=2, homepage=None, place_of_birth=None, date_first_appearance='1998-08-01')]"
22,2009,767.0,Harry Potter and the Half-Blood Prince,"['United States of America', 'United Kingdom']",934416487.0,"['Fantasy Adventure', 'Adventure', ""Children's/Family"", 'Mystery', 'Fantasy', ""Children's Fantasy"", 'Family Film', 'Action', 'Romance Film']","[Composer(id=11344, name='Nicholas Hooper', birthday=None, gender=2, homepage=None, place_of_birth=None, date_first_appearance='1998-08-01')]"
23,2002,121.0,The Lord of the Rings: The Two Towers,"['United States of America', 'New Zealand']",926047111.0,"['Fantasy Adventure', 'Adventure', 'Epic', 'Action/Adventure', 'Fantasy', 'Film adaptation', 'Drama', 'Action', 'Sword and sorcery films']","[Composer(id=117, name='Howard Shore', birthday='1946-10-18', gender=2, homepage='http://www.howardshore.com/', place_of_birth='Toronto, Ontario, Canada', date_first_appearance='1978-09-08')]"
24,2003,12.0,Finding Nemo,"['United States of America', 'Australia']",921111197.0,"['Adventure', ""Children's/Family"", 'Computer Animation', 'Animation', ""Children's"", 'Adventure Comedy', 'Comedy', 'Family Film', 'Family-Oriented Adventure']","[Composer(id=153, name='Thomas Newman', birthday='1955-10-20', gender=2, homepage=None, place_of_birth='Los Angeles, California, USA', date_first_appearance='1984-02-03')]"
25,2004,809.0,Shrek 2,['United States of America'],919838758.0,"['Adventure', ""Children's/Family"", 'Computer Animation', 'Costume drama', 'Fairy tale', 'Animation', 'Fantasy', 'Comedy', 'Family Film', 'Fantasy Comedy', ""Children's Fantasy""]","[Composer(id=5553, name='Harry Gregson-Williams', birthday='1961-12-13', gender=2, homepage=None, place_of_birth='Chichester, Sussex, England, UK', date_first_appearance='1994-04-15')]"
26,1993,329.0,Jurassic Park,['United States of America'],914691118.0,"['Thriller', 'Natural horror films', 'Science Fiction', 'Horror', 'Adventure', 'Film adaptation', 'Action/Adventure', 'Monster', 'Action']","[Composer(id=491, name='John Williams', birthday='1932-02-08', gender=2, homepage='http://www.johnwilliams.org', place_of_birth='Queens, New York, USA', date_first_appearance='1958-03-01')]"
27,2005,674.0,Harry Potter and the Goblet of Fire,"['United States of America', 'United Kingdom']",896911078.0,"['Thriller', 'Science Fiction', 'Fantasy Adventure', 'Adventure', 'Supernatural', ""Children's/Family"", 'Mystery', 'Fantasy', ""Children's Fantasy"", 'Family Film']","[Composer(id=9152, name='Patrick Doyle', birthday='1953-04-06', gender=2, homepage=None, place_of_birth='Uddingston, South Lanarkshire, Scotland', date_first_appearance='1989-10-05')]"
28,2007,559.0,Spider-Man 3,['United States of America'],890871626.0,"['Thriller', 'Action Thrillers', 'Science Fiction', 'Adventure', 'Superhero movie', 'Superhero', 'Action/Adventure', 'Fantasy', 'Drama', 'Action']","[Composer(id=19155, name='Christopher Young', birthday='1957-04-28', gender=2, homepage=None, place_of_birth='Redbank, New Jersey, USA', date_first_appearance='1982-04-02')]"
29,2009,8355.0,Ice Age: Dawn of the Dinosaurs,['United States of America'],886686817.0,"['Adventure', ""Children's/Family"", 'Animation', 'Comedy', 'Romance Film', 'Action', 'Family Film', 'Family-Oriented Adventure']","[Composer(id=11098, name='John Powell', birthday='1963-09-18', gender=2, homepage=None, place_of_birth='London, England', date_first_appearance='1997-06-27')]"
30,2002,672.0,Harry Potter and the Chamber of Secrets,"['United States of America', 'United Kingdom', 'Germany']",878979634.0,"['Fantasy Adventure', 'Adventure', ""Children's/Family"", 'Mystery', 'Fantasy', ""Children's Fantasy"", 'Family Film']","[Composer(id=491, name='John Williams', birthday='1932-02-08', gender=2, homepage='http://www.johnwilliams.org', place_of_birth='Queens, New York, USA', date_first_appearance='1958-03-01')]"
31,2001,120.0,The Lord of the Rings: The Fellowship of the Ring,"['United States of America', 'New Zealand']",871530324.0,"['Fantasy Adventure', 'Adventure', 'Epic', 'Fantasy', 'Film adaptation', 'Drama', 'Action', 'Sword and sorcery films']","[Composer(id=117, name='Howard Shore', birthday='1946-10-18', gender=2, homepage='http://www.howardshore.com/', place_of_birth='Toronto, Ontario, Canada', date_first_appearance='1978-09-08')]"
32,2012,57800.0,Ice Age: Continental Drift,['United States of America'],867291788.0,"['Adventure', 'Family Film', 'Comedy', 'Animation']","[Composer(id=11098, name='John Powell', birthday='1963-09-18', gender=2, homepage=None, place_of_birth='London, England', date_first_appearance='1997-06-27')]"
33,2005,1895.0,Star Wars Episode III: Revenge of the Sith,['United States of America'],848754768.0,"['Science Fiction', 'Action', 'Fantasy', 'Tragedy', 'Adventure']","[Composer(id=491, name='John Williams', birthday='1932-02-08', gender=2, homepage='http://www.johnwilliams.org', place_of_birth='Queens, New York, USA', date_first_appearance='1958-03-01')]"
34,2009,8373.0,Transformers: Revenge of the Fallen,['United States of America'],836303693.0,"['Thriller', 'Science Fiction', 'Action', 'Adventure']","[Composer(id=18264, name='Steve Jablonsky', birthday='1970-10-09', gender=2, homepage=None, place_of_birth='USA', date_first_appearance='2002-10-24')]"
35,2010,27205.0,Inception,"['United States of America', 'United Kingdom']",825532764.0,"['Thriller', 'Science Fiction', 'Adventure', 'Psychological thriller', 'Mystery', 'Action']","[Composer(id=947, name='Hans Zimmer', birthday='1957-09-12', gender=2, homepage='https://hans-zimmer.com', place_of_birth='Frankfurt am Main, Germany', date_first_appearance='1982-01-01')]"
36,2002,557.0,Spider-Man,['United States of America'],821708551.0,"['Adventure', 'Superhero movie', 'Action/Adventure', 'Fantasy', 'Coming of age', 'Action']","[Composer(id=531, name='Danny Elfman', birthday='1953-05-29', gender=2, homepage='https://www.dannyelfman.com/', place_of_birth='Los Angeles, California, USA', date_first_appearance='1980-03-15')]"
37,1996,602.0,Independence Day,['United States of America'],817400891.0,"['Thriller', 'Action/Adventure', 'Science Fiction', 'Action']","[Composer(id=6489, name='David Arnold', birthday='1962-01-23', gender=2, homepage=None, place_of_birth='Luton, England, UK', date_first_appearance='1994-10-28')]"
38,2007,810.0,Shrek the Third,['United States of America'],798958162.0,"['Adventure', ""Children's/Family"", 'Fairy tale', 'Animation', 'Fantasy', ""Children's Fantasy"", 'Family Film', 'Fantasy Comedy', 'Comedy']","[Composer(id=5553, name='Harry Gregson-Williams', birthday='1961-12-13', gender=2, homepage=None, place_of_birth='Chichester, Sussex, England, UK', date_first_appearance='1994-04-15')]"
39,2004,673.0,Harry Potter and the Prisoner of Azkaban,"['United States of America', 'United Kingdom']",796688549.0,"['Fantasy Adventure', 'Adventure', ""Children's/Family"", 'Mystery', 'Fantasy', ""Children's Fantasy"", 'Family Film']","[Composer(id=491, name='John Williams', birthday='1932-02-08', gender=2, homepage='http://www.johnwilliams.org', place_of_birth='Queens, New York, USA', date_first_appearance='1958-03-01')]"
40,1982,601.0,E.T. the Extra-Terrestrial,['United States of America'],792910554.0,"['Science Fiction', 'Adventure', ""Children's/Family"", 'Family Drama', ""Children's"", 'Fantasy', ""Children's Fantasy"", 'Drama', 'Family Film', 'Sci-Fi Adventure']","[Composer(id=491, name='John Williams', birthday='1932-02-08', gender=2, homepage='http://www.johnwilliams.org', place_of_birth='Queens, New York, USA', date_first_appearance='1958-03-01')]"
41,2013,82992.0,The Fast and the Furious 6,['United States of America'],788700000.0,"['Crime Fiction', 'Thriller', 'Action', 'Adventure']","[Composer(id=1018976, name='Lucas Vidal', birthday=None, gender=0, homepage=None, place_of_birth=None, date_first_appearance='2010-09-11')]"
42,2008,217.0,Indiana Jones and the Kingdom of the Crystal Skull,['United States of America'],786636033.0,"['Thriller', 'Adventure', 'Costume Adventure', 'Action/Adventure', 'Fantasy', 'Adventure Comedy', 'Family Film', 'Action']","[Composer(id=491, name='John Williams', birthday='1932-02-08', gender=2, homepage='http://www.johnwilliams.org', place_of_birth='Queens, New York, USA', date_first_appearance='1958-03-01')]"
43,2004,558.0,Spider-Man 2,['United States of America'],783766341.0,"['Thriller', 'Science Fiction', 'Superhero movie', 'Superhero', 'Action/Adventure', 'Drama', 'Fantasy', 'Action']","[Composer(id=531, name='Danny Elfman', birthday='1953-05-29', gender=2, homepage='https://www.dannyelfman.com/', place_of_birth='Los Angeles, California, USA', date_first_appearance='1980-03-15')]"
44,1977,11.0,Star Wars Episode IV: A New Hope,['United States of America'],775398007.0,"['Science Fiction', 'Adventure', 'Fantasy', 'Coming of age', 'Family Film', 'Action', 'Space western']","[Composer(id=491, name='John Williams', birthday='1932-02-08', gender=2, homepage='http://www.johnwilliams.org', place_of_birth='Queens, New York, USA', date_first_appearance='1958-03-01')]"
45,2009,14161.0,2012,['United States of America'],769679473.0,"['Thriller', 'Science Fiction', 'Adventure', 'Doomsday film', 'Action/Adventure', 'Apocalyptic and post-apocalyptic fiction', 'Drama', 'Dystopia', 'Disaster', 'Action', 'Natural disaster']","[Composer(id=5430, name='Harald Kloser', birthday='1956-07-09', gender=2, homepage=None, place_of_birth=None, date_first_appearance='1993-11-15'), Composer(id=6049, name='Thomas Wanker', birthday=None, gender=0, homepage=None, place_of_birth=None, date_first_appearance='2001-01-21')]"
46,2014,102651.0,Maleficent,[],758539785.0,['Fantasy'],"[Composer(id=1213, name='James Newton Howard', birthday='1951-06-09', gender=2, homepage=None, place_of_birth='Los Angeles, California, USA', date_first_appearance='1985-06-06')]"
47,2006,591.0,The Da Vinci Code,['United States of America'],758239851.0,"['Thriller', 'Mystery', 'Crime Thriller']","[Composer(id=947, name='Hans Zimmer', birthday='1957-09-12', gender=2, homepage='https://hans-zimmer.com', place_of_birth='Frankfurt am Main, Germany', date_first_appearance='1982-01-01')]"
48,2010,10192.0,Shrek Forever After,['United States of America'],752600867.0,"['Fantasy Comedy', 'Adventure', ""Children's/Family"", 'Computer Animation', 'Fairy tale', 'Animation', 'Fantasy', 'Comedy', 'Family Film', 'Action', ""Children's Fantasy""]","[Composer(id=5553, name='Harry Gregson-Williams', birthday='1961-12-13', gender=2, homepage=None, place_of_birth='Chichester, Sussex, England, UK', date_first_appearance='1994-04-15')]"
49,2012,1930.0,The Amazing Spider-Man,['United States of America'],752216557.0,"['Thriller', 'Science Fiction', 'Adventure', 'Superhero movie', 'Superhero', 'Action/Adventure', 'Drama', 'Reboot', 'Action']","[Composer(id=1729, name='James Horner', birthday='1953-08-14', gender=2, homepage=None, place_of_birth='Los Angeles, California, USA', date_first_appearance='1979-06-01')]"
50,2005,411.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['United States of America', 'New Zealand', 'United Kingdom']",745013115.0,"['Christian film', 'Fantasy Adventure', 'Adventure', ""Children's/Family"", 'Fantasy', ""Children's Fantasy"", 'Family Film']","[Composer(id=5553, name='Harry Gregson-Williams', birthday='1961-12-13', gender=2, homepage=None, place_of_birth='Chichester, Sussex, England, UK', date_first_appearance='1994-04-15')]"
51,2013,62211.0,Monsters University,['United States of America'],743600000.0,"['Family Film', 'Comedy', 'Fantasy', 'Adventure', 'Animation']","[Composer(id=7885, name='Randy Newman', birthday='1943-11-28', gender=2, homepage='http://randynewman.com/', place_of_birth='Los Angeles, California, USA', date_first_appearance='1971-02-19')]"
52,2003,604.0,The Matrix Reloaded,"['United States of America', 'Australia']",742128461.0,"['Action/Adventure', 'Thriller', 'Science Fiction', 'Action', 'Adventure']","[Composer(id=4949, name='Don Davis', birthday='1957-02-04', gender=2, homepage=None, place_of_birth='Anaheim, California, USA', date_first_appearance='1989-01-29')]"
53,2009,14160.0,Up,['United States of America'],731342744.0,"['Adventure', 'Animation', 'Drama', 'Comedy', 'Fantasy', 'Family Film']","[Composer(id=15347, name='Michael Giacchino', birthday='1967-10-10', gender=2, homepage=None, place_of_birth='Riverside, New Jersey, USA', date_first_appearance='1999-09-10')]"
54,2013,49047.0,Gravity,['United States of America'],723192705.0,"['Thriller', 'Science Fiction']","[Composer(id=16368, name='Steven Price', birthday='1977-04-22', gender=2, homepage=None, place_of_birth='Nottingham, England, UK', date_first_appearance='2005-05-04')]"
55,2012,80321.0,Madagascar 3: Europe's Most Wanted,['United States of America'],716891482.0,"['Family Film', ""Children's/Family"", 'Adventure', 'Animation', 'Comedy']","[Composer(id=947, name='Hans Zimmer', birthday='1957-09-12', gender=2, homepage='https://hans-zimmer.com', place_of_birth='Frankfurt am Main, Germany', date_first_appearance='1982-01-01')]"
56,2009,18239.0,New Moon,['United States of America'],709827462.0,"['Thriller', 'Horror', 'Adventure', 'Fantasy', 'Film adaptation', 'Drama', 'Romantic drama', 'Romance Film', 'Teen']","[Composer(id=2949, name='Alexandre Desplat', birthday='1961-08-23', gender=2, homepage='http://www.alexandredesplat.net', place_of_birth='Paris, France', date_first_appearance='1991-08-16')]"
57,2007,1858.0,Transformers,['United States of America'],709709780.0,"['Thriller', 'Science Fiction', 'Doomsday film', 'Alien Film', 'Disaster', 'Action']","[Composer(id=18264, name='Steve Jablonsky', birthday='1970-10-09', gender=2, homepage=None, place_of_birth='USA', date_first_appearance='2002-10-24')]"
58,2011,50619.0,The Twilight Saga: Breaking Dawn - Part 1,['United States of America'],705058657.0,"['Drama', 'Fantasy', 'Adventure', 'Teen', 'Romantic fantasy']","[Composer(id=1225, name='Carter Burwell', birthday='1955-11-18', gender=2, homepage='http://www.carterburwell.com/main/carter_burwell.shtml', place_of_birth='New York City, New York, USA', date_first_appearance='1984-09-07')]"
59,2014,157336.0,Interstellar,[],701729206.0,['Science Fiction'],"[Composer(id=947, name='Hans Zimmer', birthday='1957-09-12', gender=2, homepage='https://hans-zimmer.com', place_of_birth='Frankfurt am Main, Germany', date_first_appearance='1982-01-01')]"
60,2010,344244.0,Eclipse,['United States of America'],698491347.0,"['Thriller', 'Science Fiction', 'Vampire movies', 'Horror', 'Adventure', 'Fantasy', 'Film adaptation', 'Drama', 'Romantic drama', 'Romance Film']",
61,2011,56292.0,Mission: Impossible – Ghost Protocol,['United States of America'],694713380.0,"['Thriller', 'Action Thrillers', 'Adventure', 'Action/Adventure', 'Glamorized Spy Film', 'Action', 'Spy']","[Composer(id=9217, name='Lalo Schifrin', birthday='1932-06-21', gender=2, homepage=None, place_of_birth='Buenos Aires, Argentina', date_first_appearance='1958-10-23'), Composer(id=15347, name='Michael Giacchino', birthday='1967-10-10', gender=2, homepage=None, place_of_birth='Riverside, New Jersey, USA', date_first_appearance='1999-09-10')]"
62,2012,70160.0,The Hunger Games,['United States of America'],686533290.0,"['Action/Adventure', 'Science Fiction', 'Action', 'Drama']","[Composer(id=1213, name='James Newton Howard', birthday='1951-06-09', gender=2, homepage=None, place_of_birth='Los Angeles, California, USA', date_first_appearance='1985-06-06')]"
63,1994,13.0,Forrest Gump,['United States of America'],677387716.0,"['Coming of age', 'Comedy film', 'Drama', 'War film', 'Romantic drama', 'Romance Film']","[Composer(id=37, name='Alan Silvestri', birthday='1950-03-26', gender=2, homepage='https://www.alansilvestri.com', place_of_birth='New York City, New York, USA', date_first_appearance='1972-05-26')]"
64,1999,745.0,The Sixth Sense,['United States of America'],672806292.0,"['Thriller', 'Horror', 'Supernatural', 'Childhood Drama', 'Psychological thriller', 'Drama', 'Suspense']","[Composer(id=1213, name='James Newton Howard', birthday='1951-06-09', gender=2, homepage=None, place_of_birth='Los Angeles, California, USA', date_first_appearance='1985-06-06')]"
65,2013,49521.0,Man of Steel,['United States of America'],668045518.0,"['Science Fiction', 'Action', 'Fantasy', 'Adventure']","[Composer(id=947, name='Hans Zimmer', birthday='1957-09-12', gender=2, homepage='https://hans-zimmer.com', place_of_birth='Frankfurt am Main, Germany', date_first_appearance='1982-01-01')]"
66,2011,49444.0,Kung Fu Panda 2,['United States of America'],665692281.0,"['LGBT', 'Wuxia', 'Adventure', 'Computer Animation', 'Animation', 'Comedy', 'Family Film', 'Action']","[Composer(id=947, name='Hans Zimmer', birthday='1957-09-12', gender=2, homepage='https://hans-zimmer.com', place_of_birth='Frankfurt am Main, Germany', date_first_appearance='1982-01-01'), Composer(id=11098, name='John Powell', birthday='1963-09-18', gender=2, homepage=None, place_of_birth='London, England', date_first_appearance='1997-06-27')]"
67,2006,950.0,Ice Age: The Meltdown,['United States of America'],655388158.0,"['Adventure', ""Children's/Family"", 'Computer Animation', 'Animation', 'Fantasy', 'Comedy', 'Family Film', 'Action', 'Family-Oriented Adventure', ""Children's Fantasy""]","[Composer(id=11098, name='John Powell', birthday='1963-09-18', gender=2, homepage=None, place_of_birth='London, England', date_first_appearance='1997-06-27'), Composer(id=2004154, name='Will Edwards', birthday=None, gender=2, homepage=None, place_of_birth=None, date_first_appearance='2006-03-29')]"
68,2003,22.0,Pirates of the Caribbean: The Curse of the Black Pearl,['United States of America'],654264015.0,"['Swashbuckler films', 'Fantasy Adventure', 'Adventure', 'Action/Adventure', 'Fantasy', 'Comedy', 'Adventure Comedy', 'Action']","[Composer(id=122, name='Klaus Badelt', birthday='1967-06-12', gender=2, homepage='http://klausbadelt.com/', place_of_birth='Frankfurt am Main, Hesse, West Germany', date_first_appearance='1998-11-12')]"
69,2002,1894.0,Star Wars Episode II: Attack of the Clones,['United States of America'],649398328.0,"['Science Fiction', 'Adventure', 'Space opera', 'Fantasy', 'Romance Film', 'Action', 'Movies About Gladiators', 'Family Film']","[Composer(id=491, name='John Williams', birthday='1932-02-08', gender=2, homepage='http://www.johnwilliams.org', place_of_birth='Queens, New York, USA', date_first_appearance='1958-03-01')]"
70,2013,76338.0,Thor: The Dark World,['United States of America'],644783140.0,"['Action', 'Fantasy', 'Adventure']","[Composer(id=6041, name='Brian Tyler', birthday='1978-05-08', gender=2, homepage=None, place_of_birth=None, date_first_appearance='1998-09-18')]"
71,2008,9502.0,Kung Fu Panda,['United States of America'],631744560.0,"['Adventure', ""Children's/Family"", 'Computer Animation', 'Animation', 'Martial Arts Film', 'Comedy', 'Family Film', 'Action']","[Composer(id=947, name='Hans Zimmer', birthday='1957-09-12', gender=2, homepage='https://hans-zimmer.com', place_of_birth='Frankfurt am Main, Germany', date_first_appearance='1982-01-01'), Composer(id=11098, name='John Powell', birthday='1963-09-18', gender=2, homepage=None, place_of_birth='London, England', date_first_appearance='1997-06-27')]"
72,2004,9806.0,The Incredibles,['United States of America'],631442092.0,"['Adventure', 'Superhero movie', 'Computer Animation', ""Children's/Family"", 'Superhero', 'Animation', 'Action/Adventure', 'Comedy', 'Family Film', 'Action', 'Family-Oriented Adventure']","[Composer(id=15347, name='Michael Giacchino', birthday='1967-10-10', gender=2, homepage=None, place_of_birth='Riverside, New Jersey, USA', date_first_appearance='1999-09-10')]"
73,2011,51497.0,Fast Five,['United States of America'],626100000.0,"['Thriller', 'Crime Fiction', 'Action/Adventure', 'Drama', 'Action', 'Sports']","[Composer(id=6041, name='Brian Tyler', birthday='1978-05-08', gender=2, homepage=None, place_of_birth=None, date_first_appearance='1998-09-18')]"
74,2008,8960.0,Hancock,['United States of America'],624386746.0,"['Crime Fiction', 'Science Fiction', 'Superhero movie', 'Action Comedy', 'Superhero', 'Fantasy', 'Comedy', 'Action']","[Composer(id=11098, name='John Powell', birthday='1963-09-18', gender=2, homepage=None, place_of_birth='London, England', date_first_appearance='1997-06-27')]"
75,2012,41154.0,Men in Black 3,['United States of America'],624026776.0,"['Science Fiction', 'Action', 'Buddy film', 'Comedy']","[Composer(id=531, name='Danny Elfman', birthday='1953-05-29', gender=2, homepage='https://www.dannyelfman.com/', place_of_birth='Los Angeles, California, USA', date_first_appearance='1980-03-15')]"
76,2010,10138.0,Iron Man 2,['United States of America'],623933331.0,"['Action/Adventure', 'Thriller', 'Science Fiction', 'Action', 'Superhero movie']","[Composer(id=4500, name='John Debney', birthday='1956-08-18', gender=2, homepage=None, place_of_birth='Glendale, California, USA', date_first_appearance='1984-01-01')]"
77,2007,2062.0,Ratatouille,['United States of America'],623722818.0,"['Computer Animation', 'Animation', 'Coming of age', 'Comedy', 'Drama', 'Fantasy', 'Family Film']","[Composer(id=15347, name='Michael Giacchino', birthday='1967-10-10', gender=2, homepage=None, place_of_birth='Riverside, New Jersey, USA', date_first_appearance='1999-09-10')]"
78,1997,330.0,The Lost World: Jurassic Park,['United States of America'],618638999.0,"['Thriller', 'Science Fiction', 'Action', 'Adventure', 'Film adaptation']","[Composer(id=491, name='John Williams', birthday='1932-02-08', gender=2, homepage='http://www.johnwilliams.org', place_of_birth='Queens, New York, USA', date_first_appearance='1958-03-01')]"
